start_state,steps,total_reward,reached_goal
0,821,-821.0,1
1,1219,-1219.0,1
2,1936,-1936.0,1
3,112,-112.0,1
4,464,-464.0,1
5,2448,-2448.0,1
6,1233,-1233.0,1
7,1255,-1255.0,1
11,1649,-1649.0,1
12,114,-114.0,1
13,2873,-2873.0,1
14,2860,-2860.0,1
15,2060,-2060.0,1
16,1075,-1075.0,1
17,487,-487.0,1
18,3,-3.0,1
19,661,-661.0,1
21,937,-937.0,1
22,37,-37.0,1
23,44,-44.0,1
24,513,-513.0,1
25,547,-547.0,1
26,2379,-2379.0,1
27,1777,-1777.0,1
28,110,-110.0,1
29,20,-20.0,1
30,851,-851.0,1
31,173,-173.0,1
32,285,-285.0,1
33,124,-124.0,1
34,1300,-1300.0,1
35,1303,-1303.0,1
36,356,-356.0,1
37,9,-9.0,1
38,874,-874.0,1
39,10,-10.0,1
40,159,-159.0,1
42,964,-964.0,1
43,288,-288.0,1
44,84,-84.0,1
45,1421,-1421.0,1
46,22,-22.0,1
47,3867,-3867.0,1
48,291,-291.0,1
49,1833,-1833.0,1
50,1063,-1063.0,1
51,164,-164.0,1
52,313,-313.0,1
54,55,-55.0,1
55,1933,-1933.0,1
56,770,-770.0,1
57,1367,-1367.0,1
58,381,-381.0,1
59,757,-757.0,1
61,766,-766.0,1
62,364,-364.0,1
63,114,-114.0,1
64,75,-75.0,1
65,2717,-2717.0,1
66,865,-865.0,1
68,2193,-2193.0,1
69,1567,-1567.0,1
71,492,-492.0,1
72,208,-208.0,1
73,782,-782.0,1
74,846,-846.0,1
75,422,-422.0,1
76,695,-695.0,1
77,140,-140.0,1
78,159,-159.0,1
79,924,-924.0,1
80,103,-103.0,1
82,63,-63.0,1
83,112,-112.0,1
84,306,-306.0,1
85,322,-322.0,1
86,437,-437.0,1
87,752,-752.0,1
88,809,-809.0,1
89,168,-168.0,1
90,707,-707.0,1
91,475,-475.0,1
92,113,-113.0,1
94,2338,-2338.0,1
95,125,-125.0,1
96,1642,-1642.0,1
97,585,-585.0,1
98,1375,-1375.0,1
99,1456,-1456.0,1
